Date_YYYYMM,Reporter,Partner,HS_Code,Commodity_Name,Export_Value_USD,Net_Weight_KG
201001,Pakistan,World,1006,Rice,235850504.298,449937000.0
201002,Pakistan,World,1006,Rice,206046142.982,
201003,Pakistan,World,1006,Rice,256035371.787,
201004,Pakistan,World,1006,Rice,189097493.309,372348000.0
201005,Pakistan,World,1006,Rice,170885895.135,348373000.0
201006,Pakistan,World,1006,Rice,200437802.507,
201007,Pakistan,World,1006,Rice,217788746.049,421260000.0
201008,Pakistan,World,1006,Rice,128217021.36,212558000.0
201009,Pakistan,World,1006,Rice,127197178.0,218081000.0
201010,Pakistan,World,1006,Rice,182419465.696,316899000.0
201011,Pakistan,World,1006,Rice,146964729.76,241235000.0
201012,Pakistan,World,1006,Rice,217816852.361,374320000.0
201101,Pakistan,World,1006,Rice,185804812.131,327127000.0
201102,Pakistan,World,1006,Rice,184583406.393,313836000.0
201103,Pakistan,World,1006,Rice,206060407.962,343427000.0
201104,Pakistan,World,1006,Rice,195774521.608,319042000.0
201105,Pakistan,World,1006,Rice,186368050.221,300860000.0
201106,Pakistan,World,1006,Rice,181452298.639,284871000.0
201107,Pakistan,World,1006,Rice,179940250.518,262498000.0
201108,Pakistan,World,1006,Rice,118696195.638,180913000.0
201109,Pakistan,World,1006,Rice,123003416.622,180854000.0
201110,Pakistan,World,1006,Rice,156818588.681,259219000.0
201111,Pakistan,World,1006,Rice,135835099.452,231476000.0
201112,Pakistan,World,1006,Rice,209239739.957,409920000.0
201201,Pakistan,World,1006,Rice,191163222.061,
201202,Pakistan,World,1006,Rice,205203842.464,409741000.0
201203,Pakistan,World,1006,Rice,187691045.517,350455000.0
201204,Pakistan,World,1006,Rice,226646538.908,420707000.0
201205,Pakistan,World,1006,Rice,171663118.233,312782000.0
201206,Pakistan,World,1006,Rice,153750513.106,0.0
201207,Pakistan,World,1006,Rice,129699170.372,0.0
201208,Pakistan,World,1006,Rice,94542566.327,0.0
201209,Pakistan,World,1006,Rice,93466414.922,146179000.0
201210,Pakistan,World,1006,Rice,125522070.619,219249000.0
201211,Pakistan,World,1006,Rice,135299289.586,252676000.0
201212,Pakistan,World,1006,Rice,171523955.179,332743000.0
201301,Pakistan,World,1006,Rice,247647444.852,492641000.0
201302,Pakistan,World,1006,Rice,186253435.798,363824000.0
201303,Pakistan,World,1006,Rice,204582254.447,364943000.0
201304,Pakistan,World,1006,Rice,202616702.015,379582000.0
201305,Pakistan,World,1006,Rice,169072868.576,281391000.0
201306,Pakistan,World,1006,Rice,163607750.623,253480000.0
201307,Pakistan,World,1006,Rice,150584991.205,237932000.0
201308,Pakistan,World,1006,Rice,112911165.256,168903000.0
201309,Pakistan,World,1006,Rice,140469947.959,228802000.0
201310,Pakistan,World,1006,Rice,139448171.196,246524000.0
201311,Pakistan,World,1006,Rice,137758116.424,279622000.0
201312,Pakistan,World,1006,Rice,262168496.259,551624000.0
201401,Pakistan,World,1006,Rice,267619749.525,512606000.0
201402,Pakistan,World,1006,Rice,238285225.73,411510000.0
201403,Pakistan,World,1006,Rice,216662243.45,338698000.0
201404,Pakistan,World,1006,Rice,182996317.369,285101000.0
201405,Pakistan,World,1006,Rice,162786297.251,236843000.0
201406,Pakistan,World,1006,Rice,149624689.691,225225000.0
201407,Pakistan,World,1006,Rice,125216542.599,181398000.0
201408,Pakistan,World,1006,Rice,104254378.394,0.0
201409,Pakistan,World,1006,Rice,132618645.175,207011000.0
201410,Pakistan,World,1006,Rice,154441415.792,0.0
201411,Pakistan,World,1006,Rice,220945782.184,444798000.0
201412,Pakistan,World,1006,Rice,237968114.96,491452000.0
201501,Pakistan,World,1006,Rice,204439725.313,414257000.0
201502,Pakistan,World,1006,Rice,172996939.421,0.0
201503,Pakistan,World,1006,Rice,214808338.282,455047000.0
201504,Pakistan,World,1006,Rice,179963754.199,348376000.0
201505,Pakistan,World,1006,Rice,152305361.044,309587000.0
201506,Pakistan,World,1006,Rice,133004714.333,255455000.0
201507,Pakistan,World,1006,Rice,91104017.387,167113000.0
201508,Pakistan,World,1006,Rice,121350265.775,226652000.0
201509,Pakistan,World,1006,Rice,124099366.604,254463000.0
201510,Pakistan,World,1006,Rice,147368804.268,357997000.0
201511,Pakistan,World,1006,Rice,203583497.673,539747000.0
201512,Pakistan,World,1006,Rice,180653940.403,414652000.0
201601,Pakistan,World,1006,Rice,157824779.945,0.0
201602,Pakistan,World,1006,Rice,181889873.872,419353000.0
201603,Pakistan,World,1006,Rice,167105393.091,415905000.0
201604,Pakistan,World,1006,Rice,173298110.567,413226000.0
201605,Pakistan,World,1006,Rice,166912677.806,378853000.0
201606,Pakistan,World,1006,Rice,143922719.569,0.0
201607,Pakistan,World,1006,Rice,83884535.7,0.0
201608,Pakistan,World,1006,Rice,75488233.155,146769000.0
201609,Pakistan,World,1006,Rice,83066149.296,171584000.0
201610,Pakistan,World,1006,Rice,148723119.735,375690000.0
201611,Pakistan,World,1006,Rice,165558052.838,417721000.0
201612,Pakistan,World,1006,Rice,155319531.771,384155000.0
201701,Pakistan,World,1006,Rice,163718774.0,388026000.0
201702,Pakistan,World,1006,Rice,156260882.638,346992000.0
201703,Pakistan,World,1006,Rice,137382372.172,286233000.0
201704,Pakistan,World,1006,Rice,175707823.965,363611000.0
201705,Pakistan,World,1006,Rice,116723883.109,222313000.0
201706,Pakistan,World,1006,Rice,143392838.56,256390000.0
201707,Pakistan,World,1006,Rice,107921069.37,191638000.0
201708,Pakistan,World,1006,Rice,116076361.127,212293000.0
201709,Pakistan,World,1006,Rice,96223501.932,185738000.0
201710,Pakistan,World,1006,Rice,137463976.141,301060000.0
201711,Pakistan,World,1006,Rice,192760143.727,430319000.0
201712,Pakistan,World,1006,Rice,198748830.328,472210000.0
201801,Pakistan,World,1006,Rice,217671963.688,489960000.0
201802,Pakistan,World,1006,Rice,194171650.577,387116000.0
201803,Pakistan,World,1006,Rice,232068086.41,459395000.0
201804,Pakistan,World,1006,Rice,185000198.645,332570000.0
201805,Pakistan,World,1006,Rice,209593060.653,385170000.0
201806,Pakistan,World,1006,Rice,146807482.258,258591000.0
201807,Pakistan,World,1006,Rice,110830575.597,206846000.0
201808,Pakistan,World,1006,Rice,112816541.954,193758000.0
201809,Pakistan,World,1006,Rice,88188873.298,152115000.0
201810,Pakistan,World,1006,Rice,128174289.908,251772000.0
201811,Pakistan,World,1006,Rice,172899543.961,378905000.0
201812,Pakistan,World,1006,Rice,214543954.326,436192000.0
201901,Pakistan,World,1006,Rice,237135380.227,493623000.0
201902,Pakistan,World,1006,Rice,203226666.537,427488000.0
201903,Pakistan,World,1006,Rice,229649459.181,489545000.0
201904,Pakistan,World,1006,Rice,216404908.994,412900959.653
201905,Pakistan,World,1006,Rice,222859452.394,440600000.0
201906,Pakistan,World,1006,Rice,142006422.667,283249000.0
201907,Pakistan,World,1006,Rice,194046529.523,365420715.981
201908,Pakistan,World,1006,Rice,138218074.881,259445000.0
201909,Pakistan,World,1006,Rice,137696004.221,234987000.0
201910,Pakistan,World,1006,Rice,163043885.498,317222000.0
201911,Pakistan,World,1006,Rice,202182256.934,453141000.0
201912,Pakistan,World,1006,Rice,197211903.039,411660000.0
202001,Pakistan,World,1006,Rice,181238444.222,367642000.0
202002,Pakistan,World,1006,Rice,183225312.369,361609000.0
202003,Pakistan,World,1006,Rice,196213463.697,376865000.0
202004,Pakistan,World,1006,Rice,222689032.816,384732000.0
202005,Pakistan,World,1006,Rice,207272095.844,347956000.0
202006,Pakistan,World,1006,Rice,150896857.315,277214000.0
202007,Pakistan,World,1006,Rice,149004584.381,267621000.0
202008,Pakistan,World,1006,Rice,99124881.561,168096000.0
202009,Pakistan,World,1006,Rice,112067325.805,185782000.0
202010,Pakistan,World,1006,Rice,139416578.439,265752943.325
202011,Pakistan,World,1006,Rice,231061555.343,482238105.879
202012,Pakistan,World,1006,Rice,232681342.412,0.0
202101,Pakistan,World,1006,Rice,194254385.939,338343915.323
202102,Pakistan,World,1006,Rice,180342100.803,322444000.0
202103,Pakistan,World,1006,Rice,222589197.766,387925000.0
202104,Pakistan,World,1006,Rice,189479449.692,309984000.0
202105,Pakistan,World,1006,Rice,106125399.906,178797000.0
202106,Pakistan,World,1006,Rice,185530711.318,322969000.0
202107,Pakistan,World,1006,Rice,139654620.845,235242000.0
202108,Pakistan,World,1006,Rice,140443809.776,253894000.0
202109,Pakistan,World,1006,Rice,142815671.367,261692000.0
202110,Pakistan,World,1006,Rice,171152222.813,349075000.0
202111,Pakistan,World,1006,Rice,231382393.41,494948000.0
202112,Pakistan,World,1006,Rice,239934670.83,535252000.0
202201,Pakistan,World,1006,Rice,220004643.41,465447000.0
202202,Pakistan,World,1006,Rice,253998964.97,494226000.0
202203,Pakistan,World,1006,Rice,250421717.404,512953000.0
202204,Pakistan,World,1006,Rice,259296548.595,466913000.0
202205,Pakistan,World,1006,Rice,224845183.361,466836000.0
202206,Pakistan,World,1006,Rice,236228624.703,464318000.0
202207,Pakistan,World,1006,Rice,138428792.366,251722000.0
202208,Pakistan,World,1006,Rice,144009553.366,255422000.0
202209,Pakistan,World,1006,Rice,119168642.403,217034000.0
202210,Pakistan,World,1006,Rice,143722844.953,257507000.0
202211,Pakistan,World,1006,Rice,202888760.512,419397000.0
202212,Pakistan,World,1006,Rice,178306900.085,331948000.0
202301,Pakistan,World,1006,Rice,154936965.587,249510000.0
202302,Pakistan,World,1006,Rice,270979376.283,565055000.0
202303,Pakistan,World,1006,Rice,243124258.781,393313000.0
202304,Pakistan,World,1006,Rice,223762462.529,331293000.0
202305,Pakistan,World,1006,Rice,179488235.81,247464000.0
202306,Pakistan,World,1006,Rice,147254482.116,201644000.0
202307,Pakistan,World,1006,Rice,116892496.424,172302000.0
202308,Pakistan,World,1006,Rice,116701157.066,168451000.0
202309,Pakistan,World,1006,Rice,172435061.155,255607000.0
202310,Pakistan,World,1006,Rice,304282964.916,459892000.0
202311,Pakistan,World,1006,Rice,408024539.907,665439000.0
202312,Pakistan,World,1006,Rice,518469801.711,850242000.0
202401,Pakistan,World,1006,Rice,477189689.496,752179000.0
202402,Pakistan,World,1006,Rice,401687908.053,609463000.0
202403,Pakistan,World,1006,Rice,413414154.881,624856000.0
202404,Pakistan,World,1006,Rice,351693934.008,530186000.0
202405,Pakistan,World,1006,Rice,345497400.66,506702000.0
202406,Pakistan,World,1006,Rice,304138481.146,434172000.0
202407,Pakistan,World,1006,Rice,206359949.713,270814000.0
202408,Pakistan,World,1006,Rice,259123800.266,347178000.0
202409,Pakistan,World,1006,Rice,260782139.625,380728001.046
202410,Pakistan,World,1006,Rice,368616618.115,615161000.0
202411,Pakistan,World,1006,Rice,438094086.893,793807000.0
202412,Pakistan,World,1006,Rice,365930758.501,
202501,Pakistan,World,1006,Rice,322576982.001,583735000.0
202502,Pakistan,World,1006,Rice,291941113.11,536777000.0
202503,Pakistan,World,1006,Rice,275027165.169,510997000.0
202504,Pakistan,World,1006,Rice,206284671.41,407504000.0
202505,Pakistan,World,1006,Rice,239214768.586,459014000.0
202506,Pakistan,World,1006,Rice,149923986.258,273183000.0
202507,Pakistan,World,1006,Rice,168859123.64,294370000.0
202508,Pakistan,World,1006,Rice,146723086.566,252396000.0
202509,Pakistan,World,1006,Rice,104436756.543,168402000.0
202510,Pakistan,World,1006,Rice,162800756.231,285354000.0
202511,Pakistan,World,1006,Rice,188264471.297,427178000.0
202512,Pakistan,World,1006,Rice,170405100.33,393058305.798
