Date_YYYYMM,Reporter,Partner,HS_Code,Commodity_Name,Export_Value_USD,Net_Weight_KG
201001,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",2063362.521,1448885.0
201002,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",932108.0,611605.0
201003,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1270851.407,853438.0
201004,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",359814.976,263463.0
201005,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1116087.444,801451.0
201006,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",407867.025,262720.0
201007,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",124304.047,85253.0
201008,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",558745.678,443000.0
201009,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1627797.494,1231988.0
201010,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",725092.1,726159.0
201011,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",555559.34,449885.0
201012,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",2767419.554,2275892.0
201101,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1740541.768,1340751.0
201102,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1529541.353,1470308.0
201103,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1642945.197,1425935.0
201104,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",2850702.7,2412651.0
201105,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",2094610.476,1930662.0
201106,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",2670040.416,2706388.0
201107,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1924583.044,1444347.0
201108,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1682059.771,1476360.0
201109,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1552291.346,1236450.0
201110,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1719246.938,1279164.0
201111,Pakistan,World,1207,"Oil seeds and oleaginous fruits, n.e.c. in chapter 12; whether or not broken",1213544.366,973940.0
