Date_YYYYMM,Reporter,Partner,HS_Code,Commodity_Name,Export_Value_USD,Net_Weight_KG
201001,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",3185127.139,
201002,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",2787953.291,
201003,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",2751003.96,
201004,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",3813590.31,
201005,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",5331589.79,
201006,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",5835298.351,
201007,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7981452.609,
201008,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",9446435.307,
201009,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",10575520.35,
201010,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7840743.058,
201011,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7366024.879,0
201012,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7805881.704,0
201101,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",8773076.31,0
201102,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",5521651.443,0
201103,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",6310738.55,0
201104,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7634525.672,0
201105,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7632399.674,0
201106,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",12006867.44,0
201107,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",13896226.03,0
201108,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",13232656.92,0
201109,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",9565046.149,0
201110,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",8706828.14,
201111,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",5302529.821,
201112,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",8228098.347,
201201,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",5126242.817,
201202,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",3348155.477,0
201203,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",3387696.488,0
201204,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",2531296.169,0
201205,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",6557284.995,0
201206,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",10490653.24,0
201207,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",11421501.57,0
201208,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",11874962.86,0
201209,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",10060168.93,0
201210,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",10051959.64,0
201211,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",12189359.46,0
201212,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",10487604.29,0
201301,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7792028.055,0
201302,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",6289167.766,0
201303,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7063193.093,0
201304,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",4649909.801,0
201305,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",12809186.48,0
201306,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",13292964.19,0
201307,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",13179525.64,0
201308,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",11142657.36,0
201309,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",11238277.72,0
201310,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",11814103.31,0
201311,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",9964440.337,0
201312,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",11966405.82,0
201401,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",10138169.36,0
201402,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",8181627.165,0
201403,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7018397.926,0
201404,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",7649906.158,0
201405,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",16906617.72,0
201406,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",19029695.34,0
201407,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",17557031.53,0
201408,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",17184998.14,0
201409,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",18100182.46,0
201410,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",14497056.59,0
201411,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",11834628.17,0
201412,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",16693415.37,0
201501,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",11731627.04,0
201502,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",9514572.966,0
201503,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",6957977.73,0
201504,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",13316298.56,0
201505,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",16832745.63,0
201506,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",14580790.94,0
201507,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",19399252.96,0
201508,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",17888869.07,0
201509,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",13663050.63,0
201510,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",15196213.37,0
201511,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",13017736.61,0
201512,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",106419985,0
201601,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",13530420.68,0
201602,Pakistan,World,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted",10241539.06,0
