Date_YYYYMM,Reporter,Partner,HS_Code,Commodity_Name,Export_Value_USD,Net_Weight_KG
201001,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",220580759.331,48683079.0
201002,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",184206001.231,40919930.0
201003,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",208545763.578,43717158.0
201004,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",210541811.929,
201005,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",234603736.218,50073470.0
201006,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",211959769.704,
201007,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",245898882.059,46486159.0
201008,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",222595233.181,
201009,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",214151255.031,37243214.0
201010,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",261203963.814,48493159.0
201011,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",203390237.592,0.0
201012,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",221076649.685,38879485.0
201101,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",236291513.405,41858769.0
201102,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",216608849.927,35175147.0
201103,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",260571220.166,41529966.0
201104,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",259907309.491,40454986.0
201105,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",275224004.387,42237403.0
201106,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",297324415.352,45231242.0
201107,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",256152463.623,38636012.0
201108,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",251481820.153,37769588.0
201109,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",215225222.632,33830467.0
201110,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",237208099.774,37255316.0
201111,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",151396780.789,24145660.0
201112,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",191805536.035,32051804.0
201201,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",179541093.303,28934554.0
201202,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",189923068.769,32717685.0
201203,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",185590238.366,31816702.0
201204,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",215793761.034,38816478.0
201205,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",216181116.055,37746371.0
201206,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",222858044.174,37721214.0
201207,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",228624036.727,39442599.0
201208,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",218490381.321,37523127.0
201209,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",215390522.533,37262433.0
201210,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",232761174.91,39292159.0
201211,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",189360061.698,32308825.0
201212,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",213880290.635,36458639.0
201301,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",235278846.86,40967021.0
201302,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",194075176.379,32946530.0
201303,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",237601906.232,41295893.0
201304,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",227006454.026,38603637.0
201305,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",234235207.282,39108220.0
201306,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",216007185.468,35960153.0
201307,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",242334728.536,42415437.0
201308,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",206436831.817,33757931.0
201309,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",325151865.695,55347901.0
201310,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",237691428.504,39472591.0
201311,Pakistan,World,6302,"Bed linen, table linen, toilet linen and kitchen linen",222138500.568,36405714.0
