Date_YYYYMM,Reporter,Partner,HS_Code,Commodity_Name,Export_Value_USD,Net_Weight_KG
201001,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",442138.359,186278.0
201002,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",684198.934,155600.0
201003,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",755487.484,207147.0
201004,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2321.051,610.0
201005,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",42948.119,10354.0
201007,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",115495.276,30600.0
201008,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",904401.022,240696.0
201009,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",4684086.499,2009987.0
201010,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2898670.854,1249077.0
201011,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",927923.055,323310.0
201012,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1498597.691,325102.0
201101,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2118798.901,756003.0
201102,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1347839.648,0.0
201103,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2118321.171,375789.0
201104,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1350979.396,287649.0
201105,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1531567.543,424056.0
201106,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1566728.434,437005.0
201107,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2481888.743,640076.0
201108,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2690276.63,694455.0
201109,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1345831.713,355732.0
201110,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1543413.301,353105.0
201111,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1306934.159,1105.0
201112,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2852112.832,35200.0
201201,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",3375730.413,932207.0
201202,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1762042.589,580992.0
201203,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1910237.484,552207.0
201204,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2981382.069,773350.0
201205,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2400001.37,626115.0
201206,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1295743.971,366659.0
201207,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2177211.992,697406.0
201208,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1585367.087,525145.0
201209,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1785198.424,592940.0
201210,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",3139293.035,1025337.0
201211,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2035437.998,688184.0
201212,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",3167122.831,837225.0
201301,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2806984.691,868510.0
201302,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",3417247.305,1042365.0
201303,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2428846.528,771503.0
201304,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",901681.026,300000.0
201305,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1866417.99,594820.0
201306,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",976661.2,659540.0
201307,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1003598.971,315545.0
201308,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",538140.053,114218.0
201309,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",711531.988,229110.0
201310,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",3127133.016,164898.0
201311,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1708550.646,516020.0
201312,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2686893.768,880554.0
201401,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1450412.729,418630.0
201402,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1938478.59,535900.0
201403,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1256500.765,408080.0
201404,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",840368.055,123561.0
201405,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1434315.662,618397.0
201406,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1253916.446,431710.0
201407,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1238027.099,487409.0
201408,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",993506.763,0.0
201409,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2174928.107,491960.0
201410,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1549653.446,310211.0
201411,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1796289.525,491626.0
201412,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1358242.408,361198.0
201501,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1084249.123,482000.0
201502,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",351209.344,122185.0
201503,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1105884.685,0.0
201504,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",378935.945,53075.0
201505,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",849122.896,288000.0
201506,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",772976.586,258000.0
201507,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",181357.445,68000.0
201508,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1101315.191,368844.0
201509,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",316163.504,106.0
201510,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",532641.404,169418.0
201511,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",225569.585,14626.0
201601,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",459331.448,107720.0
201602,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",360109.052,150083.0
201604,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",428942.436,0.0
201605,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",170.809,40.0
201608,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",280670.831,118900.0
201609,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",417355.108,122310.0
201611,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",134770.723,27060.0
201612,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2896931.749,762555.0
201701,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2195373.77,656160.0
201702,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2357566.607,433952.853
201703,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2493512.891,776304.0
201704,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1152420.075,320981.0
201705,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1519799.039,485335.0
201706,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1104031.047,381428.0
201707,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",514477.527,164565.0
201708,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2368196.895,829135.0
201709,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1945731.892,667540.0
201710,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2026553.048,653205.0
201711,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",5707745.494,1858270.0
201712,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",2759930.196,891690.0
201801,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",8969353.648,2856768.0
201802,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",7298277.453,2364430.0
201803,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",4914496.497,1595706.0
201804,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",1833980.9,580495.0
201805,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",4969229.156,1667328.0
201806,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",6003767.047,1866360.0
201807,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",6972624.2,2156810.0
201808,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",10789629.273,3142280.0
201809,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",11442447.919,3087315.0
201810,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",16340814.281,4770874.0
201811,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",22184127.562,6116630.0
201812,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",28963056.211,6737511.0
201901,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",16134104.156,4740205.0
201902,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",23026154.522,4945744.0
201903,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",30764506.928,6213354.0
201904,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",23862197.114,4780446.0
201905,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",17487721.962,3590838.0
201906,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",9278209.48,1919753.0
201907,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",28225513.119,5717070.0
201908,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",16079471.835,3207380.0
201909,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",29000601.42,5779978.0
201910,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",32102138.548,6440435.0
201911,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",30454043.49,6052220.0
201912,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",25621912.004,5051784.0
202001,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",25919112.241,5192228.0
202002,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",36396620.215,7256025.0
202003,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",17612002.78,3604578.0
202004,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",4243432.24,843881.0
202005,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",12690530.76,2536820.0
202006,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",22520878.752,4568125.0
202007,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",36033597.664,7190035.0
202008,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",21989330.632,4489034.0
202009,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",26207480.475,5148975.0
202010,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",37360315.467,7185820.0
202011,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",44627897.113,8483170.0
202012,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",35934944.271,6835665.0
202101,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",36602840.793,6846072.0
202102,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",33955520.905,6058595.0
202103,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",44272193.96,7978615.0
202104,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",33313396.816,5736140.0
202105,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",32429876.596,5594540.0
202106,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",60863948.749,10353735.0
202107,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",41168920.181,6715766.0
202108,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",41510262.902,7463891.0
202109,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",59666908.025,8393644.0
202110,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",52958044.524,6899125.0
202111,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",75641113.495,8759378.0
202112,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",84643599.181,9621030.0
202201,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",68879125.548,7690192.0
202202,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",94696533.303,10636470.0
202203,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",70909520.81,8098580.0
202204,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",54248284.852,6622937.0
202205,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",41379397.476,4753564.0
202206,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",72092764.421,8130005.0
202207,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",32475991.215,3930971.0
202208,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",25109565.974,3055302.0
202209,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",49622172.592,6634382.0
202210,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",61269217.796,7972490.0
202211,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",58162748.931,7992311.0
202212,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",54906321.076,7284703.0
202301,Pakistan,World,7403,"Copper; refined and copper alloys, unwrought",62679779.001,8355354.0
