iter	RMSE
0	88718559.13
1	85044092.41
2	81505266.84
3	78102422.01
4	74788383.44
5	71684538.03
6	68718487.69
7	66123865.73
8	63504944.23
9	61031590.14
10	58648454.39
11	56437636.52
12	54300007.16
13	52243935.16
14	50283909.42
15	48486086.49
16	46805326.52
17	45237045.32
18	43699769.34
19	42246532.57
20	40940975.66
21	39648862.8
22	38498385.99
23	37300955.95
24	36354017.25
25	35327684.22
26	34306185.75
27	33354580.11
28	32430496.86
29	31640166.81
30	30860826.99
31	30132050.96
32	29467996.5
33	28855530.1
34	28235034.3
35	27659219.82
36	27132968.81
37	26627781.29
38	26187035.35
39	25747070.66
40	25352442.72
41	24993894.01
42	24633951.55
43	24297728.35
44	24003613.05
45	23716402.76
46	23417687.58
47	23156708.03
48	22926326.8
49	22692775.03
50	22457524.13
51	22231211.18
52	22080369.16
53	21884539.05
54	21687463.28
55	21535597.69
56	21370792.23
57	21239527.5
58	21112930.71
59	20991334.35
60	20876193.36
61	20760976.9
62	20674298.34
63	20571456.71
64	20458603.27
65	20371921.86
66	20260470.31
67	20130301.41
68	20046890.13
69	19956024.6
70	19864189.59
71	19799852.38
72	19745119.38
73	19682564.22
74	19619959.56
75	19556936.14
76	19491729.72
77	19397172.11
78	19360214.14
79	19314669.58
80	19273909.45
81	19204993.48
82	19153520.33
83	19086183.89
84	19044399.53
85	18981033.36
86	18945980.75
87	18894789.2
88	18846393.64
89	18807500.44
90	18747421.37
91	18698968.28
92	18660658.66
93	18620902.08
94	18570681.18
95	18512323.47
96	18474491.03
97	18424519.77
98	18395631.99
99	18341254.84
100	18277241.06
101	18244695.7
102	18225159.86
103	18196326.84
104	18139570.75
105	18102659.58
106	18081117.56
107	18057536.2
108	18020557.69
109	17959774.88
110	17932034.21
111	17911910.18
112	17872840.33
113	17820022.97
114	17794851.14
115	17745458.86
116	17718275.81
117	17694612.9
118	17664312.44
119	17631823.6
120	17601515.59
121	17577442.97
122	17563137.46
123	17526797.89
124	17468953.26
125	17429145.92
126	17392923.55
127	17357625.21
128	17333008.28
129	17283560.56
130	17256558.4
131	17239882.08
132	17213198.34
133	17177185.95
134	17146249.34
135	17106132.03
136	17074604.22
137	17032087.7
138	17019994.26
139	16987410.75
140	16974535.74
141	16924526.94
142	16881572.71
143	16858059.57
144	16833690.97
145	16801851.48
146	16765854.78
147	16746913.06
148	16710114.4
149	16679906.05
150	16639482.32
151	16593742.24
152	16548586.33
153	16521707.06
154	16490963.63
155	16464752.8
156	16435575.76
157	16405228.55
158	16375439.66
159	16346303.64
160	16324244.97
161	16309229.59
162	16292009.86
163	16271691.8
164	16243095.24
165	16227856.57
166	16177462.16
167	16112123.94
168	16099911.15
169	16076969.24
170	16049076.24
171	16035263.25
172	15987250.45
173	15967583.62
174	15918467.16
175	15892581.25
176	15878728.18
177	15861870.18
178	15829994.21
179	15804548.22
180	15788500.32
181	15777289.3
182	15739404.78
183	15715261.97
184	15674617.25
185	15641134.46
186	15619680.69
187	15574134.12
188	15565160.08
189	15528060.15
190	15505845.96
191	15491242.44
192	15447043.8
193	15425163.05
194	15380637.79
195	15366936.11
196	15345389.29
197	15300571.27
198	15280271.03
199	15264664.66
200	15242462.55
201	15222937.11
202	15210792.86
203	15172903.39
204	15153810.64
205	15112737.13
206	15098133.28
207	15089732.62
208	15081994.91
209	15069956.72
210	15058428.35
211	15018956.09
212	15000352.92
213	14972935.31
214	14933007.59
215	14922438.8
216	14915348.42
217	14898877.98
218	14886762.88
219	14877237.82
220	14840778.64
221	14825287.93
222	14818318.09
223	14782896.28
224	14773279.47
225	14755734.14
226	14722710.06
227	14686318.23
228	14672160.08
229	14634992.63
230	14622075.01
231	14586872.17
232	14577107.67
233	14543037.75
234	14512171.23
235	14502022.78
236	14469432.16
237	14452013.91
238	14422089.36
239	14389542.99
240	14368576.42
241	14352828.57
242	14339909.79
243	14320392.26
244	14311513.69
245	14300985.35
246	14272153.9
247	14240659.67
248	14223430.8
249	14208381.1
250	14176616.41
251	14155969.01
252	14146263.71
253	14117695.59
254	14092175.39
255	14066810.9
256	14034908.83
257	14019717.04
258	13999444.31
259	13987302.73
260	13970853.57
261	13937663.58
262	13929433.03
263	13921575.21
264	13914037.27
265	13900542.94
266	13884919.73
267	13872554.74
268	13849918.79
269	13844589.33
270	13818363.41
271	13797659.22
272	13784103.77
273	13752339.65
274	13740671.74
275	13705826.83
276	13677291.43
277	13670173.72
278	13657012.13
279	13629875.95
280	13591113.84
281	13571397.84
282	13560332.6
283	13542694.72
284	13528571.62
285	13514575.4
286	13498207.24
287	13475008.27
288	13446237.23
289	13431383.63
290	13415833.58
291	13399738.1
292	13386313.62
293	13366820.61
294	13351843.03
295	13339246.92
296	13323031.03
297	13308903.26
298	13245303.58
299	13238669.25
300	13221087.26
301	13201010.6
302	13181926.73
303	13172734.63
304	13165667.9
305	13145664.74
306	13129361.76
307	13103441.03
308	13094334.25
309	13079166.13
310	13065396.6
311	13042679
312	13019185.92
313	13003427.78
314	12990217.01
315	12984201.77
316	12959752.68
317	12947480.97
318	12935670.84
319	12910776.35
320	12902230.84
321	12890835.18
322	12866525.66
323	12853038.52
324	12839911.33
325	12826817.33
326	12809592.78
327	12795373.81
328	12782677.7
329	12728416.66
330	12714970
331	12702527.26
332	12686730.84
333	12669634
334	12658318.74
335	12631965.72
336	12619934.35
337	12612383.44
338	12602541.54
339	12581711.22
340	12569991.6
341	12550493.46
342	12540147.35
343	12517015.84
344	12488996.19
345	12478105.98
346	12464210.8
347	12457533.78
348	12451822.04
349	12427196.03
350	12382902.81
351	12361614.05
352	12309573.22
353	12305893.23
354	12289176.9
355	12279565.64
356	12260422.76
357	12250719.06
358	12226952.68
359	12218962.77
360	12202185.22
361	12175085.05
362	12162826.97
363	12137369.57
364	12126460.01
365	12122084.64
366	12111035.68
367	12103683.77
368	12095963.27
369	12081509.18
370	12071045.47
371	12031085.95
372	12004911.58
373	11995692.56
374	11974558.58
375	11943815.14
376	11937271.52
377	11918633.74
378	11897978.58
379	11866900.29
380	11848520.26
381	11845355
382	11836755.38
383	11831625.66
384	11821696.4
385	11813151.44
386	11804588.54
387	11789258.83
388	11772776.3
389	11767943.31
390	11762208.14
391	11746634.89
392	11732796.84
393	11717187.5
394	11704233.81
395	11681342.09
396	11666959.48
397	11662816.22
398	11656530.06
399	11638337.17
400	11631545.04
401	11613888.27
402	11609836.64
403	11578997.1
404	11568908.59
405	11564380.41
406	11551181.67
407	11533343.11
408	11524199.21
409	11511705.86
410	11489386.91
411	11483055.83
412	11478780.35
413	11472472.39
414	11465515.81
415	11445768.87
416	11428839.61
417	11413145.96
418	11404653.07
419	11392205.5
420	11379328.81
421	11374303.9
422	11353572.59
423	11338743.65
424	11334793.32
425	11319310.28
426	11299325.18
427	11290514.52
428	11282165.09
429	11259475.56
430	11244871.44
431	11218885.56
432	11208479.35
433	11188327.06
434	11182238.73
435	11168194.5
436	11159141.19
437	11148033.26
438	11125337.95
439	11119572.8
440	11100460.7
441	11094350.4
442	11081348.44
443	11058236.46
444	11043072.04
445	11036341.56
446	11028107.3
447	11004051.38
448	10995296.09
449	10977038.36
450	10972820.25
451	10957489.46
452	10937983.87
453	10923397.68
454	10913213.6
455	10905567.37
456	10886979.99
457	10865099.49
458	10856075.45
459	10849693.8
460	10828108.45
461	10808580.25
462	10787681.34
463	10775416.12
464	10767269.82
465	10755060.01
466	10744697.43
467	10734805.3
468	10723946.09
469	10709124.7
470	10690001.6
471	10676005.32
472	10659609.11
473	10653059.1
474	10639309.42
475	10624916.88
476	10613095.84
477	10601049.16
478	10590971.08
479	10577483.21
480	10560741.19
481	10554055.03
482	10550011.53
483	10544193.52
484	10529216.56
485	10517455.13
486	10510521.93
487	10497617.06
488	10483077.03
489	10469082.97
490	10459461.27
491	10420035.21
492	10410553.29
493	10402671.7
494	10363017.76
495	10349293.81
496	10344059.14
497	10324253.39
498	10317237.37
499	10310770.25
