iter	Passed	Remaining
0	71	35467
1	85	21231
2	101	16785
3	114	14246
4	130	12919
5	146	12087
6	163	11514
7	180	11100
8	196	10730
9	212	10410
10	227	10131
11	252	10260
12	282	10583
13	298	10369
14	314	10170
15	329	9977
16	346	9836
17	362	9709
18	377	9568
19	393	9453
20	409	9337
21	424	9219
22	439	9109
23	460	9123
24	480	9133
25	496	9053
26	512	8972
27	528	8900
28	543	8831
29	558	8752
30	573	8672
31	587	8592
32	602	8532
33	617	8466
34	632	8399
35	647	8351
36	662	8289
37	676	8229
38	692	8183
39	707	8134
40	722	8083
41	737	8039
42	754	8015
43	770	7984
44	785	7939
45	801	7905
46	816	7871
47	831	7832
48	847	7803
49	862	7760
50	877	7722
51	892	7688
52	907	7656
53	922	7621
54	938	7591
55	952	7552
56	967	7517
57	981	7478
58	999	7471
59	1015	7446
60	1030	7415
61	1046	7394
62	1064	7385
63	1081	7369
64	1097	7344
65	1111	7310
66	1125	7276
67	1145	7280
68	1175	7341
69	1215	7466
70	1298	7844
71	1321	7855
72	1342	7851
73	1363	7848
74	1383	7839
75	1402	7825
76	1421	7810
77	1439	7788
78	1456	7763
79	1473	7735
80	1489	7702
81	1504	7667
82	1519	7635
83	1535	7602
84	1550	7567
85	1565	7535
86	1582	7510
87	1600	7491
88	1616	7465
89	1633	7439
90	1661	7466
91	1684	7469
92	1718	7519
93	1750	7560
94	1766	7529
95	1781	7497
96	1798	7473
97	1814	7442
98	1830	7416
99	1848	7395
100	1866	7372
101	1883	7348
102	1901	7327
103	1918	7306
104	1936	7285
105	1954	7266
106	1973	7247
107	1989	7221
108	2005	7193
109	2018	7158
110	2033	7124
111	2048	7096
112	2064	7069
113	2077	7035
114	2092	7005
115	2108	6978
116	2121	6945
117	2136	6915
118	2150	6886
119	2165	6856
120	2179	6826
121	2194	6799
122	2208	6769
123	2221	6737
124	2236	6708
125	2251	6682
126	2265	6652
127	2279	6623
128	2294	6598
129	2308	6570
130	2321	6540
131	2336	6513
132	2350	6487
133	2366	6463
134	2380	6436
135	2396	6414
136	2410	6388
137	2424	6360
138	2439	6336
139	2454	6311
140	2468	6284
141	2483	6259
142	2498	6236
143	2512	6211
144	2526	6185
145	2541	6162
146	2555	6136
147	2569	6110
148	2583	6085
149	2598	6063
150	2612	6037
151	2625	6011
152	2641	5990
153	2655	5965
154	2669	5940
155	2688	5927
156	2702	5905
157	2716	5880
158	2732	5859
159	2746	5837
160	2760	5812
161	2776	5791
162	2791	5771
163	2805	5747
164	2819	5724
165	2834	5702
166	2849	5681
167	2863	5658
168	2877	5635
169	2892	5615
170	2907	5593
171	2924	5576
172	2944	5566
173	2964	5554
174	2987	5547
175	3007	5537
176	3027	5524
177	3043	5505
178	3060	5489
179	3076	5470
180	3092	5449
181	3109	5432
182	3125	5414
183	3141	5395
184	3157	5376
185	3174	5359
186	3191	5342
187	3208	5324
188	3227	5310
189	3246	5296
190	3268	5287
191	3289	5276
192	3310	5266
193	3343	5273
194	3369	5269
195	3385	5250
196	3401	5232
197	3417	5212
198	3433	5193
199	3449	5173
200	3465	5154
201	3481	5135
202	3496	5116
203	3512	5096
204	3529	5079
205	3551	5068
206	3568	5051
207	3584	5032
208	3603	5017
209	3621	5000
210	3636	4980
211	3652	4961
212	3668	4942
213	3683	4922
214	3699	4903
215	3714	4883
216	3730	4864
217	3746	4845
218	3760	4825
219	3776	4806
220	3793	4788
221	3812	4774
222	3832	4761
223	3853	4747
224	3871	4731
225	3887	4712
226	3905	4696
227	3920	4677
228	3936	4657
229	3951	4638
230	3967	4619
231	3983	4602
232	4001	4585
233	4017	4567
234	4033	4548
235	4048	4528
236	4065	4512
237	4085	4497
238	4106	4484
239	4125	4468
240	4142	4451
241	4158	4432
242	4176	4417
243	4192	4398
244	4207	4379
245	4223	4360
246	4239	4342
247	4254	4322
248	4269	4304
249	4286	4286
250	4302	4268
251	4319	4250
252	4335	4232
253	4354	4217
254	4373	4202
255	4395	4189
256	4414	4174
257	4430	4155
258	4446	4137
259	4462	4119
260	4478	4100
261	4494	4083
262	4511	4065
263	4529	4048
264	4546	4031
265	4563	4014
266	4580	3997
267	4598	3980
268	4616	3964
269	4636	3949
270	4655	3934
271	4674	3918
272	4691	3900
273	4706	3881
274	4721	3863
275	4737	3844
276	4752	3826
277	4768	3807
278	4783	3788
279	4799	3771
280	4816	3753
281	4834	3737
282	4854	3722
283	4872	3705
284	4890	3689
285	4905	3670
286	4921	3652
287	4937	3634
288	4953	3616
289	4968	3598
290	4984	3580
291	5000	3561
292	5015	3543
293	5031	3525
294	5046	3506
295	5063	3489
296	5080	3472
297	5098	3456
298	5116	3439
299	5138	3425
300	5159	3411
301	5177	3394
302	5196	3378
303	5214	3361
304	5231	3344
305	5247	3327
306	5262	3308
307	5278	3290
308	5294	3272
309	5309	3254
310	5326	3236
311	5342	3219
312	5358	3201
313	5375	3183
314	5391	3166
315	5407	3148
316	5426	3132
317	5446	3117
318	5467	3102
319	5485	3085
320	5502	3068
321	5517	3050
322	5533	3032
323	5550	3014
324	5566	2997
325	5582	2979
326	5597	2961
327	5615	2944
328	5630	2926
329	5646	2908
330	5661	2890
331	5676	2872
332	5692	2854
333	5707	2836
334	5723	2819
335	5738	2800
336	5753	2783
337	5770	2765
338	5788	2748
339	5804	2731
340	5820	2713
341	5835	2696
342	5851	2678
343	5867	2660
344	5883	2643
345	5898	2625
346	5914	2607
347	5929	2589
348	5945	2572
349	5961	2555
350	5977	2537
351	5995	2520
352	6011	2503
353	6029	2486
354	6045	2469
355	6063	2452
356	6080	2435
357	6096	2418
358	6114	2401
359	6130	2384
360	6148	2367
361	6163	2349
362	6179	2332
363	6195	2314
364	6212	2297
365	6230	2281
366	6248	2264
367	6266	2247
368	6289	2232
369	6307	2216
370	6325	2199
371	6344	2183
372	6363	2166
373	6384	2151
374	6403	2134
375	6422	2118
376	6442	2102
377	6461	2085
378	6479	2068
379	6498	2052
380	6517	2035
381	6535	2018
382	6553	2002
383	6571	1985
384	6589	1968
385	6607	1951
386	6626	1934
387	6643	1917
388	6659	1900
389	6676	1883
390	6694	1866
391	6712	1849
392	6728	1831
393	6743	1814
394	6759	1796
395	6774	1779
396	6790	1761
397	6806	1744
398	6823	1727
399	6839	1709
400	6855	1692
401	6871	1675
402	6886	1657
403	6901	1639
404	6917	1622
405	6935	1605
406	6953	1588
407	6972	1572
408	6990	1555
409	7009	1538
410	7027	1521
411	7046	1505
412	7065	1488
413	7083	1471
414	7101	1454
415	7119	1437
416	7137	1420
417	7153	1403
418	7168	1385
419	7184	1368
420	7200	1351
421	7215	1333
422	7232	1316
423	7248	1299
424	7264	1281
425	7280	1264
426	7296	1247
427	7312	1230
428	7327	1212
429	7343	1195
430	7358	1177
431	7373	1160
432	7390	1143
433	7406	1126
434	7421	1108
435	7437	1091
436	7453	1074
437	7468	1057
438	7483	1039
439	7498	1022
440	7514	1005
441	7529	988
442	7544	970
443	7559	953
444	7574	936
445	7590	918
446	7607	901
447	7622	884
448	7639	867
449	7655	850
450	7670	833
451	7686	816
452	7701	799
453	7716	781
454	7731	764
455	7747	747
456	7763	730
457	7778	713
458	7794	696
459	7810	679
460	7825	662
461	7841	644
462	7856	627
463	7876	611
464	7892	594
465	7907	576
466	7923	559
467	7941	543
468	7957	525
469	7973	508
470	7989	491
471	8004	474
472	8021	457
473	8037	440
474	8054	423
475	8070	406
476	8086	389
477	8101	372
478	8117	355
479	8133	338
480	8149	321
481	8165	304
482	8181	287
483	8197	270
484	8212	254
485	8228	237
486	8243	220
487	8258	203
488	8274	186
489	8289	169
490	8305	152
491	8321	135
492	8337	118
493	8352	101
494	8369	84
495	8386	67
496	8402	50
497	8419	33
498	8435	16
499	8451	0
